Post,1Comment,2Comment
I'm having a really bad panic attack right now. Still stuck in a place where I don't want to be I have 4 days left but tonight I'm really struggling I have some pain in my belly I feel sick physically I haven't been sick yet but I just want to go home I want these 4 days to hurry up I'm scared something is going to happen to me to stop me from getting home :'(,Where are you and why are you in a place that you do not want to be?,Can you watch any youtube relaxation videos or listen to them whilst in bed?
Anybody here going thru a mental crisis,Yes I’m trying to fight it but I’m overwhelmed and scared of the thoughts I’m having,CAN'T TAKE NO MORE
✌️☺️🙂❤️,This is true and it sometimes takes a while to get there and then boom suddenly you're there,Can’t wait to reach that point!!! Thank you for the hope!!!!
"I was sent on this earth to mess everything up 

Journal didn’t work I still feel the agony…. 

I don’t know what to do 
My arm hurts from stress 

I was only sharing what I saw online eating spice is not entirely bad n mom went “oh I said too much I’m sorry I’m sorry” I got pissed cuz she always do this 

I wish I didn’t get triggered 

I think I deeply enjoy this and I haven’t figured out 

I enjoy suffering 
Sabotaging 
Talking down myield 

And all darkness 

I just want to have a sleep paralysis for once and my heart stops 

I can’t take this 

Before u suggest live somewhere I can’t 

I don’t have anyone 
No stable money 
Or anything 

I should shut up and just take it 

But my fingers can’t stop me from posting here AHAHAHAAHAHA",I feel like this…. I wake up in the morning and can’t wait till night time to ge back to bed,"Carry on with your journal.
 It may not make good reading now, perhaps,
 It will make sense later"
Really struggling with anxiety recently my mind feels like a pinball machine going from one thing to another all time and it's wearing me down 😕😕,Casting Health,Casting Health
"Trying to find  local help is tough for me , not just therapy stuff but  friends or people to spend time with .......I live in city of 600k near good university , i use to meet people in cafes etc but that does not seem to work now",Local groups etc,"Caught free city  bus  , got free coffee and got desperately needed time out of home in to good environment"
"In June my relationship of 13 years ended and I’ve been living on my own since then. I live in a rural town, have no friends locally and am really struggling today. Despite taking the dogs for a walk and a trip to the local farm shop I’ve not really spoken to anybody, life feels empty and rather pointless today - I used to love life so much, all of that joy has gone now.",Here if you need a chat,Chat with me
Hi I am lost,"If you word it differently, your waiting to be found",Chris Jennings  I am sorry to hear you feel that but I am glad you felt comfortable sharing. Feel free to share more or to reach out in case you need someone to listen to you
Just had massive panic attacks about end of life and what I meant to be doing in life and why I'm still single  I'm a 42m uk 🇬🇧 person anyone here can help me please 🙏 😔 😢,I'm single at 47. It can be lonely but then i remember what was left behind. Somethings need to be left there. Look forward and make your own life. What is meant to be will be.,Chris xx
I have been struggling the majority of my life. It's been extremely bad the last year. In the last 3 months I gave up twice but was brought back. I'm trying so hard to find that joy.. fire.. passion that kepted me going before and it seems like no matter what I do or how hard I try it's not good enough or I create more damage etc etc. It's taking alot of strength that I'm surprised I'm finding to  even make this post trying to see what more I can do. I already just feel like a shell. I haven't been able to feel nothing but pain and worthlessness for months.,"Sending hugs and love Ashley stay strong ,❤️❤️🤗🤗","Christ is the only one that can give you a wonderful peace dear
DM if u need him"
"TW
Hi I'm struggling. I'm having nightmares. My daughter got beat up by her dad last year.  Her dad is looking at prison or probation. So I'm pissed that my parents are praying he gets the charges dropped. When I was a kid I was raped and they did the same thing.  The bastard walked. I just don't understand how they could do this to their own daughter and granddaughter. It makes me so mad. My anxiety is high. These nightmares are the worst. Could use some hugs. Thank you.",Is there no support offered?,"Christina Brock, I am absolutely sorry that you are having to go through that. It makes me mad too, reading about it. Please feel free to reach out, if you need someone to talk to. I know its not easy, but I know your child needs you to be strong and there for her. So I hope you are get the support from this community as well"
,Sleeping 💤 😮,Cleaning!!!!
"Feeling fed up. I've been poorly for the last month. Had a cold, chest infection, ear infection. I've been on and off going to the doctors. I went to the doctors Friday morning and it was confirmed that the ear infection has cleared up. I have infection fatigue and blocked sinuses.
Great what's next! . Not great for my anxiety and depression.",sounds like u need a thorough detox    and address some major nutritional deficicies ..like vitc intake   vit  d  b12   etc  get a book on nutrtion    and apply what u learn,Colds are affecting people badly this winter and causing fatigue. Take the medicine that soothes you. Stick to recommended dose
With my mental health and anxiety and phobia I try use my hobbies to distract my mind like art and nature and making music videos for the mind body and soul what about you,I like what you're doing Shane. You've discovered what works for you and found some inner peace.,"Colour therapy, 
Music
Walks in the park."
Anyone else get stomach problems from anxiety?,Yep,Come join my live for Q&A hopefully I can help with some awareness I am a mental heath nurse and currently on section in hospital
"My mental health is destroying me. 
I've always struggled I've been through alot of trauma (witnessed DV as a child to an alcoholic father,I became a single mum at 17 to a baby who has complex needs,ended up in a DV relationship myself abused in every way,lost permanent care of my daughter who has been adopted(she turns 13 this month),I've been in my current relationship for almost 10years,he's had his own issues and sadly relapsed in Sept 2021(no abuse) he has now been in recovery since Jan 2022,in June 2021 I lost my voice. Its now been diagnosed as a conversion disorder. Its been over a year of having no voice,I don't care about myself,don't take care of myself. Don't get me wrong I take care of everyone else (my dad who is in ill health,my mum who is on the verge of becoming homeless through no fault of her own,my son who's now 14 with his complex health needs a rare neurological condition,autism,adhd and severe learning difficulties I have to cover everything when it comes to his care which of course is my job). Since my voice went I just don't like being in the world,I feel like a burden,I can't even have a full conversation with anyone. I've had numerous counselling through the years. I have been having voice therapy since April 2022 and there's been no progress.  I now have to wait until Jan 2023 for my next appointment. I feel so pointless and yes of course I'm needed but I feel myself,as an individual is pointless.  I also have adenomyosis which puts me in agony probably around 14days a month. I can't go out anywhere to socialise because its exhausting,I'm feeling very lonely,isolated,forgotten whatever you wanna describe it as. 
I can't go to the shops unless I know exactly where things are,because asking for help becomes a complete chore and most people just blankly stare at me. 
I tried to go for a meal with my son and partner earlier of course with it being the festive season everywhere is busy and we essentially sat in silence because again I can't make myself heard. I'm close to tears writing this because its probably the first time I've ever fully written out how I'm feeling. I don't know what I'm expecting from writing this I just needed to get it out. I can't read to my son because he cannot hear me. I can't chat to people in the street for the same reason. I can't ring people or answer the phone. I know its all very negative but thats how its impacting me I just can't see the point of anything anymore",Sending love and hugs Jessica ❤️❤️🤗🤗 if you ever need a chat pm any time x,Come on my girl. You are everything to some people. X
"Hey all so I had a telephone interview for a  typist volunteering  job but they asked me whether I wanted to do database management instead cos iv got a degree in computer science but they use php programming, Microsoft azure and sharepoint which m not familiar with but said that I'd learn it. Also they said that there's no job opportunities at the end of it which is y I wanted to do it in the first place so dunno whether to do it or not now cos m worried that I won't be able to do it but feel like it too late to say that I wanna do the typing job now instead cos already said that I'd do the database one and don t wanna mess them around ☹",Give it a go. One more positive for your cv. Can always look for a perm job in the meantime.,Congrats clever cookie
"Wow tomorrow is gonna be 3 weeks since I had my surgery 
How time flew by and I feel 80% better 
I’m just chilling waiting for my eye bruise to fade more and my scar to heal and fade and the middle of my nose to stop being sore a bit but other than that I’m so much better and having strength again and normally energetic 

However I should take it easy to make sure things will be okay since it’s too early but I feel so good",Well done and yes don’t push it just take it easy for a little 😊,Congratulations
,Been go karting with the fam,Cooking roast 
Btw! In Las Vegas! Certified mental J/k ! Bit looking for support group. Maybe other women suffering with kids like me.￼,,Could you explain more? I hope you will get better
All I want is a ground floor  flat so I can get a dog I am so lost without  my baby girl summer  she was the best thing  happened  to me my landlord  did not no about  summer  I carnt  risk  a puppy now I getting  to stage were I rather  sleep  out on streets  than live this life  everyone  says to me u should  be lucky  what u got what is that I got misery pain I carnt do this without  my summer  been 6 months  my partner  my kids my family  tell me grow  up worse  thing is my partner  hates Christmas  so don't want get me present  my kids never bother to this year they not evern  coming  to mine Christmas  day and as for my social  friends  they not evern  seen my flat in 3 years I wanna  give up what's their left in this cruel  world  everyone  tells me hold ur head up girl I carnt anymore  all I want is my girl back I need hugs hate ths world x,"I am here if you want to talk at any time, your not alone I promise 🫶🤗❤️🙏","Could you make your former pet if you still have access - an emotional support animal?  If you message me I could send you the national registration website.  Im not sure about everywhere, but here in New York under the Fair Housing Act a landlord cannot deny an Emotional Support Animal it is discrimination and against the law."
"Really feeling like all i want to do is cry, NOT coping.  Struggling mentally.",I feel like I am In that loop right now of just crying and feeling overwhelmed,"Crying is releasing the emotions from your body so go and cry you eyes out. I’ve cried the whole day today. My face is so puffy, I look like I have the measles’s and my head feels like it’s going to explode Hopefully I will feel better tomorrow as I’ve worked on my emotions today. Remember and breathe xx"
,Great,Cushty 😂😂😂😂💯💯💯💯💯💯💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪❤️❤️❤️❤️❤️❤️💯🙏🙏🙏🙏😇😇😇😇😇😇😇😇
"I can’t believe I fell into the trap of overthinking ONCE AGAIN!!! I thought after surgery I would appreciate life more and stop this but nope 
I’m so mad at myself I’m trying to snap out but it’s being difficult rn which is making me anxious and have more anxiety 

Idk what trick to do anymore 

It’s so frustrating 

I just wanna move on bro 

I’ve been gloomy since Saturday",If you don’t mind me asking what kind of surgery?,Daily Struggles with Mental Health
I had a doctor completely cut me off my klonopin and ambien. I'm in a not so good living situation and I'm very vulnerable right now. I have a Psych appointment coming up in February with my old doctor.  What do I do in the meantime having no meds? I can't afford my Psych appointment as it's self pay. I don't know what to do. Shouldn't I have been tapered down instead of abruptly being taking off???,"They need slow tapering, can be dangerous going cold turkey","Damn, your doctor sucks. Klonopin is a Benzo and the withdrawls from them is horrible. I know from experience. Doctor should know better. Not a lot you can do for the withdrawl except for maybe Benadryl, that helps a little."
Looking for advice or if anyone else suffers from emotional dysregulation. And if you found anything that helps. Thanks,I would say I strongly struggle with my emotions but breathing techniques writtening down how I feel can help using the apps VENT and DARE help me some times when I have anxiety aromatherapy can also help trying to write down when you feel a type of emotion so you know what emotions your feeling rather than being confused x,Dbt therapy
I am a domestic violence victim with ptsd and mdd,"Good evening brother 
Nice to meet you","Dealing with frequent PTSD and anxiety episodes was exhausting; the panic would escalate to the point of vomiting, leaving me drained and physically sore. It was a relentless cycle. microdosing has made a significant difference in managing my anxiety. It's been a game-changer, and I thought you might find it helpful too.
Discover Enzo_heals on Instagram for discreet shipping and an incredible experience you won't want to miss. Follow now and unlock a world of wellness"
Please people with mental health experience help me out... Is mental health truly forever because I can't imagine myself taking medicine for the rest of my life,Im on medication for the rest of my life.  Ive tried to not take it at first but I knew I really needed it. It helped me get through uni and my life to help others,Dear can we talk... We'll gone to its solutions.... Check Inbox
"Heya, I'm hoping to get some friendly advice.

My mum has always suffered with her mental health but especially recently I've noticed a deterioration. She's either very manic, or extremely sad. Me and my mum are EXTREMELY close and speak/ video call everyday without fail so I can easily pick up on any change she has.

She is saying things which are quite upsetting, worrying and completely out the blue but can't see that anything is wrong and we're all tiptoeing around her and being careful what we say so we don't trigger her. I've just been keeping in touch with her and being an ear so she can voice how she feels with no judgement. 

My mum has been through an awful lot, but is the strongest person in the world. I'm very aware two things can be true at the same time however. She's strong, extremely self aware but also very vulnerable. I'm trying to get her help without her knowing because she's very sensitive that people think she's crazy as she feels the things she's saying makes complete sense and that her ""eyes have finally opened."" I've tried to ring her doctors but they can only assess her if she agrees. 

Has anyone got any advice how I can approach her to get help, or if there are any services that can step in? I'm very worried where things can go if they get worst and just at my wits end with what to do next or how I can help her get back to the best version of herself. TIA x","Sorry can't really add a lot here but one thing that speeds up deterioration, especially in over 60s, is dehydration. Make sure she's drinking plenty of water, you may notice a change within 12 hours ❤️","Dear Poster, please ignore the comment that was about Micro-Dosing. This comment has been removed."
I need someone I can talk to I’m so tired of struggling on my own xx,Im always on my own its terrible,"Dear, I know that feeling all too well, if you need to talk, I'm here to listen I'll be a shoulder to lean on when you need it."
feeling lost don't know  where to go from here,Inbox me always here too listen,"Definitely lost times, you're not alone.. just reach out and there are many there to help us stay strong."
"my toxic trait is if someone don’t meet my needs, i would not communicate but i will just slowly dissipate from their life. because i believe my absence wouldn’t make any changes in anyone’s life.",I get that,"Depends if your ‘ needs ‘ are acceptable to someone else tbh
It’s a 2 way steeet.
If we allow everyone to tell us what we should do if not they won’t talk to us then please shut the door on your way out and don’t return.

I have 3 daughters the eldest demands everything from me 
Money is real tight she does drink drugs came to me 3 times to live as her bf is abusive and if I don’t do exactly what she wants she leaves and stops talking to me.
So narcissism is a thing."
Hi,Hello hi,Depressed and headache
"Hi people
I’m not sure if anyone in this group is familiar with the “support” services CAMHS…
I’m under 18 so not much mental health support is available. But I practically screamed for help multiple times on a phone call appointment and was just so unheard and disregarded.
I’m struggling a lot with so many issues and have family history of bipolar and bpd in both sides, and aware these kinds of things are hereditary…
Are there any support services in The UK close to Wiltshire that will actually listen and help… I’ve given up with Camhs and and seriously not surprised that the teenage suicide rate is so high when that’s the only support we’re offered! 
It’s a joke I even have to ask for help elsewhere… but I hope some can recommend somewhere 😅
TIA","I cannot recommend something permanent, I'm in Dorset and it's awfully bad support this way. My inbox Is always open, I've got PTSD AND BPD. Samaritans were a saviour for me. Good luck x",Dial 988
Has anyone had any experience of mirtazepine? I was on citalopram but was making me worse so they swapped me to mirtazepine.,Im on them plus another,Did everyone find mirtazepine caused weight gain? I’m struggling to control my appetite since started taking it
"Hi everyone.
I'm new here and, if I'm honest, I'm here because I'm struggling.
I'm 2 and a half years out of an abusive relationship. I'm now in a new one but I'm really struggling mentally due to flashbacks, memories and also, my ex is stopping me from seeing my daughter. It's led to me having to go through court for contact, which is also affecting my son, who lives with me and has special needs.
I really feel like I'm alone in all of this.",You have it bad. You just have to go through this. You are a strong brave beautiful woman. I hope you will have your children together soon. Should you go to the police or a solicitor about the abuse. This is a complicated situation. Would a counsellor help? Keep in touch. You are not alone. Also there are women's aids to help women who have been abused. There should be one locally,Did you ever report any of the abuse that happened to you were there witnesses can you not use this information in court to prove your ex is an unfit person and your daughter should not be awarded to that person because of his behavior
"Hi 
I had texted my boss about work, and a few issues, I stated in the text that I've been suffering with my MH for over a week, and been su!cidal & given diazepam from the doctor.
This text was past to HR & at least 1 of the owners of the company that I know off- I suspect it been shared with at least 1 other person. 
Does anyone know if this is any sort of breach or ""rules"" on sharing this delicate information please?",Yeah. Its a risk when sending such info out that it will be spread around. Not sure of the legality. But it happens and probably nothing can be done. Mental health issues is a health condition. So you dont have to give details. Info that you arent well and are being treated by a dr and any accommodations or adaptations you need at your work is all any official at your workplace needs to know.,Did you write private and confidential on your letter? I've had problems like this with people I naively trusted. It should not go further than your bosses. If it goes to your colleagues I would sue
,"It’s been ok, sorting thinks out around the house, nice lie in this morning and roast beef for dinner x how’s your day been Steve? ",Difficult 😥 
,Fresh,Dissociative
Had a mental breakdown and I just wanted to vent. I hope everyone has a good night.,All will be well,Dm
"⚠️Trigger Warning⚠️ Binge Eating, Numbers, Weight Gain⛔️

Hello I am reaching out for some support. I am struggling with anxiety and depression due to this recent weight gain and it has slowly taken over me. I am currently in a slump because I have gained over 35 pounds in two years. I used to be 135 and so happy. I am somewhere around 175 now..I started gaining some weight because I was traveling frequently. It was only a few pounds but I noticed and I started obsessing. So I tried losing weight yeah I lost some but it was temporary something would come up and I would fall behind. Whether it was a big social event that involved eating “unhealthy” food or just waking up late. (I hated waking up late because I would always go to the gym early and when I woke up late I usually had no motivation to go the gym) Any small thing would set me back. Then came the binge eating.. worst thing ever. I figured if I couldn’t start that day let me start on monday or a specific date. Till that date came I ate and ate and ate. I would eat until I was literally sick. I would feel so guilty and then I would start the restriction. The day would come when I was supposed to start, if I slipped up one tiny thing in my plan and it ruined me. In the process of me hyper fixating on my weight I let myself stray away from my studies. I have an addiction -procrastination-. My grades have slipped because of this. My high standards that I used to follow I have not been able to follow them. And I hate myself for it but I am reaching out now I need help and support. I actually did good for about a month in the summer and lost 7 pounds and I felt great but then I started school again. I didn’t control myself I would get hungry after school and my binge habits came back. Then the comments about my body from my peers didn’t help either. I am at the point I just want to give up. I hate eating around people so I end up eating large portions of food at night. I just need some guidance and support. Just a side note, I have contacted nutritionist and I followed plans but I have always seem to fall back and I have basically come to a point where I have given up. This is my last try but I am really hoping to get back on my feet again. I also am not up to trying any supplements/medication. I want to lose weight naturally! Thank you if you read all of this. Any advice is greatly appreciated.",Come join my live for Q&A hopefully I can help with some awareness I am a mental heath nurse and currently on section in hospital,Dm
"Trigger warning suicide Ideation. 

For as Long as I can remember I've considered/thought about suicide. It hasn't been a consistent feeling and it has varied in intensity. But the feeling has been there for the majority of my life. I think the only time I didn't have the thoughts/feelings is when I was very, very young. I think it would be safe to say the only reason I haven't tried is because I don't have the courage. (for lack of a better term) I guess that's a blessing. Of course there is a very small part of me that wants to keep living, but I can feel that part of me getting smaller and smaller, but the good news is that I don't think i'll ever have the courage to go through with it. And I know there are people in my life that want me to stick around so that's another thing that kind of keeps me going.  But the point to this long text is this.  How many of us committed suicide a long time ago but our bodies, our consciousness just didn't get the message. I suspect there is a lot of us. In other word's even though we are alive,  we haven't been living for a very long time. Just existing, going through the motions of life but not feeling anything. Just getting through one day after the next. I suppose this is better than actually being dead, because at least this way there is still a little bit of hope, a chance. That maybe one day with a lot of effort and some luck things can be better and we can start really living for possibly the first time in life. 

It's at this point I feel like I should try to offer some hope after what is a pretty dark and depressing post. All I can say is don't give up, hang in there. There are people who need you and love you. You probably have a bigger impact on people's lives around you than you realize. And we might be in pain now, and life might really suck for a big verity of reasons there's always a chance that things can change. If we ended it now we would be missing out on what might have been.  I know this is all Cliche, but it's true.  It's the hope that I hold on to and that keeps me going. I hope that it will keep you going too.",Come join my live for Q&A hopefully I can help with some awareness I am a mental heath nurse and currently on section in hospital,Dm
"Do ur kids with mental illness sleep alot ? 
 Mine slept all day yesterday ...got up and ate and went back to sleep ...uuugh",I'm an adult but that's what I do and it's linked to depression,Do i let her sleep or should i be wakimg her up ?
They're talking about a 72 hour section 😭,If you can co-operate it's far better,Do it in 72 hours they can assess you properly and find out what meds you really need so good luck and I hope it works out for you
"Hello everyone, 

I need some advice… I’m losing interest in everything and doing anything. I can’t keep up with my health and hygiene and I’m always tired or sleeping and I’m losing connections with everyone, does this sound like depression early stage?",Definitely. I'd speak to your gp. Try to take care of yourself and make small goals to achieve each day even if it's a shower and getting dressed. Don't put too much pressure on yourself but please take care.,"Do me a favour? look up ""the dark knight of the soul"" see what you make of it ?"
Hi is anyone on mirtazapine if so. Does anyone have these effects of spaced out and losing your balance. I didn't have a good day as my balance was really off today. But I mention it to my mental health nurse it's not my tablets it's my ears as that can happen but I know it's not my ears. I have done a test on myself I have missed one and I don't have that issue.,Interestingly it isnt approved in Australia.,Do medical people think it's OK to lie to patients or do they really believe psycho active drugs have no side effects?
Just lost my voluntary job feel so worthless,Don’t feel like this as volunteer you took roll to help for no charge and you took time to support.you made massive difference for them .people who work as volunteer should get massive respect not many would make effort to work for no money.only people like you who have heart do ❤️,Do not feel like you failed. Hold your head up & keep trying. You did your best & that's all you can do. 💖
I need someone to talk to,If u want too talk message me inbox ok,Do u want to inbox me
My mother doesn’t understand when I say I feel alone she said being alone is good and I should be alone i try to tell her I feel alone it makes me angry sometimes she doesn’t understand,With God you are never alone. Fill that emptiness with Jesus🙏✝️,Do you feel lonely? Do you go out with friends? Do you have someone to speak to?
Hi y'all! My name is Uh-tah-shuh but you can call me Tosha for short! I'm from Ohio and I'm here to make new friends. I suffer from depression & anxiety so badly it's to the point I barely leave my house. I am also recovering meth addict and have noticed since I have gotten clean that's when my depression has gotten worse... nice to meet y'all!,"Nice to meet you, and congrats on being clean. Keep it up beautiful as life will get better 💖",Do you have a self care plan?
Ive been without anti-psychotics for months does anybody know easy ways to get them without going into the hospital for months again Im scared of being put in the state hospital. the symptoms keep getting worse.,You shouldn't go without them! See your GP,do you have insurance is there an IOP program it lasts three days a week three hours a day call a psychiatrist and make an appointment asked them if there is an IOP program check free clients the IOP program takes Medicaid
Has anyone Ever felt so alone and not wanted by family and friends! I feel like I am nothing 😔 I work so hard to keep it all together each day. I am tired of trying keeping my Mental health in check. The things that go through my mind in a day are scary but I try to keep my mind busy by walks craft etc. Today I can’t stop crying & feel so alone and empty inside 😞 Fighting PTSD  Depression & anxiety is exhausting I am tired of life!,I feel the same hun x,Do you own a pet??
Hi im new here im from uk been suffering really bad lately nights are the worst lack of sleep i cant control whats happening anybody awake and want to  chat,"Reach out to cosmos_remedies on IG, explain to him and wait for his recommendation.he helped me out.","Do you want a friend to hang out with ? I’m from Lublin Poland , but the flights are really cheap and short , you could come here I would give you spare room , and we could meet in London when I will be there for summer."
I'm suffering terrible mental health problems and I have every reason to be suffering aswell. Xx,Thanks for accepting me guys,Do you want peace and support?
Any male available need someone talk to and feel more comfortable talking to male,Hi Lucy I here if want a chat xx,Does Gay male count
"I'm trying to support my friend who is going through a relapse from anorexia. She is on low income and wants to get help through NHS or non-private-priced services.

As this is a competitive disease she wants to avoid eating disorder therapy. In addition, she suffers from OCD, anxiety, depression and has suicidal thoughts.

Does anyone know where I can direct her as she finally recognises that she needs ongoing help and support. She was referred by the crisis team to an eating disorder clinic but was turned down.

Please advise, many thanks.",Sorry to hear she was turned down by an eating disorder clinic. I'm assuming she must have made contact with her GP. Have they offered any alternatives?,"Does she have any insurance does she have a psychiatrist a therapist is there a outpatient program she could go to  it’s during the day for three hours a day how about  a regular inpatient psychiatric hospital I don’t understand why she got turned down
if she doesn’t see a psychiatrist get one and a therapist sounds like she’s ready I pray doors will open for you and your friend God bless you both hang in there where are both of you from"
"Hello everyone. Before starting I want to mention a trigger warning. I tried my best of what I knew how to censor sensitive words and so on but I'm not sure I did well. I'm not somebody who posts something or even opens up to anyone but I'm in the really bad mental situation and I don't have anyone at all to talk to. I had my now ex best friend that our friendship ended because of terrible argument and now looking back after some time I can see that that friendship was only beneficial to her and quite toxic but I stayed because I didn't want to be alone and wanted to have someone to talk to because even though I am medically diagnosed with anxiety disorder and OCD my parents don't take it seriously and even get mad at me when I go silent because my mental health is getting worse. I'll put a couple of messages after this post what my mom wrote to me today. My parents were never emotionally available and when I was bullied or had any problems they just told me to just not pay any attention to those people or that they have worse problems and my problems doesn't count. So I shut down and all they know about me is my created character that I act in front of them because it's easier to do that than to exhaust yourself trying to explain to them my mental illness and how I'm feeling and risk being called a liar or manipulator or being yelled at. 3 years ago I myself found and went to the psychiatrist to get help because I was in a super bad place where I even considered su1c1d3 and was s3lf h4rm1ng. No one knew about it and noone cared I just knew that if I won't do something I won't be on this earth for much longer. Now after 3 years I'm doing much better and I'm on medication and seeing professional even though there's still bad periods where my mental health declines drastically but then after some time I resurface and continue trying to get better. Last year I had a huge downfall because my uncle who was more like my dad emotionally then my actual dad that I'm honestly afraid of to talk to or ask anything because I don't know when or what will set him if and he'll scream at me or I don't put past him anything else. So last year my uncle I mentioned committed su1c1d3 that literally took the ground from under my feet because even though him passing was hurtful enough that reminded me of where I could have been then 2 years ago exactly in his place if I didn't get help. It still hurts till today but at least I can remember him and think about him without those terrible pictures and voices and memories in my head. At the moment I'm not in a terrible place but in a quite bad place mentally and have a few problems like having to take my guinea pig to the vet because she has a weird lump and my parents don't care at all and I'm struggling to convince them to help me to pay for her visit. I love animals more than anything. In my life they're the only thing that truly loves and cares about me.  And just beyond that it's just a period of time when I again got worse and my mental health declined and I need to wait and work it through but it's just I'm completely alone, with noone to talk to, with noone who cares or understands me and even though me being introvert now screams at me what am I doing posting here but it seems like the only chance to get heard by someone because I'm struggling and I don't want to give in into my dark thoughts again. If anyone would be able to read this and hear me and help me that would mean more than I could ever express in my life. 😔😢

This image is the text my mom sent me today not wanting to talk so to let my father rest and not disturb him. From my point of view I spent my days in constant fear waiting for them to come back from work as to finish and get done everything so I won't get screamed at but I guess I'm still not doing enough. I usually cannot fall asleep because of my anxiety and stay up late on my phone because then I feel safe, they're sleeping and I won't get screamed at or anything else and I can just have my time either way I cannot sleep and just lay there looking at the ceiling.",You are doing well by recognising ‘the signs’ before they happen - this is a huge and positive step to learning to live with and manage depression. Be proud that you have made this start for your self.,"Does your country have a disability income for people who are disabled and if so you might check to see if mental health is one that qualifies or if your back pain is enough to qualify. Because if you can get disability income plus some welfare help you can move out of your parents house. They seem to be toxic to you right now. Which I understand, my mom was toxic to me and I spent my senior year of high school in an institution until I graduated, then I moved in with my grandparents in another state to get ready for college. My baby sister followed soon after but moved in with our dad and step family. You might look up a book titled TOXIC PARENTS by Dr. Susan Forward with Craig Buck. It may be helpful to you."
,No laundry 🧺😫,Doing laundry!😂😂
"Hi! I recently joined this group as I have been facing utter depression from past few months! I've always feared of losing people in my life either my family or friends. I was never this guy with such a small circle, but somehow converted into an introvert guy having just 4 to 5 friends. The fact is, i just did almost everything for my friends as I know that what you give is what you recieve. From the past years, I've found it so hard to cope from my problems and get out of the dark phase alone, i needed help from the only friends that were left in my life. I never found any single one of them in my hard times and always blamed myself (still do) that if you are alone in your downtime, you did not give them enough support. I've damn tried everything even forgot myself in the process of giving them all i could offer but still struggling in my downtime on my own.. I feel like i want to scream out loud to them that i need you guys the way you needed me, i need you now please!!! I'm a 24yrs old guy and sometimes i just cry like a baby in shower or in my bed and can't help myself! I feel ashamed of crying as guys normally don't cry but trust me i can't help myself! Writing this all down here just to express as i got nowhere to go or to talk!",Always look after yourself first. If you help someone else make sure they help you. Friendship is a two way street. Otherwise they are just users. Join clubs. Have hobbies. Also attend a therapy group. See a counsellor. Good luck. Keep in touch,"Don't let your mental health get the best of you.
I can relate, the last 9 years of my life was horrible, this group has been a great help, I take microdosing capsules, it really helps with my BPD ,anxiety, panic attack, depression, and mental health issues I haven't had a bad day in months 😀 feeling productive like before.follow  (tripper_declan) on Instagram, is the right person to meet for help
♥️"
"Hi all. I'm new to the group and live in Manchester, UK.
I was very recently discharged from hospital after taking my 3rd overdose. This time I took 64 Paracetamol, I was found and rushed to hospital. 
I've recently been struggling horrendously with my mental health. I have nobody around me for support. One minute I'm the happiest woman on the planet and the next I'm googleing how to tie a noose. 
My mind terrifies me at times. I'm on the waiting list for 'Living Well' but the R.A.I.D Team have said It'll be at least 6 months. 
I've not been offered any follow up appointments or anything. 
I'm scared. 😔",Please reachout on here,"Don't let your mental health get the best of you.
I can relate, the last 9 years of my life was horrible, this group has been a great help, I take microdosing capsules, it really helps with my PTSD, anxiety,  depression,mental health issues I haven't had a bad day in months 😀 feeling productive like before.follow  hendrick_tripper on Instagram, he is  the right person to meet for help.
❤️"
"I have been Over thinking for long time, and now It's damaging my mental and physical health. Sometime i really feels insecure! Please give me any advice that, how can i over come with this problems?",Take it easy dear..you will get better,"Don't worry, everything will be fine 🙂❤️"
"Posting on behalf of one of our group members who wishes to stay anonymous.
Thank you 

#trigger warning 
I don’t know where to start…..
Nov 21 I decided I had had enough of my Narcissistic  husband of 18 years….. stupidly I took him back ( he had started ta￼liking to another woman I thought nothing of it) then February 22 I was strong enough to tell him I want out I couldn’t take no more of him and his ways, our kids were seeing the fights, arguments and the way he treated me, he would be all nice to me saying let’s go to mc D for a hot choc get me in the car away from the house and start screaming at me I would come home emotional and go straight to bed…. 
February he started looking for another house and strangely enough started talking again to the same woman he did in the Nov ( he hadn’t stopped things now I noticed I now see why he did it like turn his WhatsApp status off become distant and treating me worse) this went on like this till April when he moved out. Since then he’s turned my mother and brothers against me, my mother knowing he raped me, hearing him when she called me shouting at me to get in my bedroom ( I locked from the day he forced himself on me ) she’s even met his new woman ( from the Nov) saying how nice she is, when I confronted her about everything her words were “ what do you expect me to do about it” she’s never been supportive or there for me so shouldn’t have expected anything different my brothers are also the same…. He’s turned my older kids against me ( not even his kids) and now this weekend 2 of our 3 kids are moving in with him, meaning I’m losing my kids ( I’ve been there for them since day one no support from him) and now he’s the best thing because he’s buying them. I’m so down at the min an emotional wreck don’t want to be in this house , I do work but only part time I’m just trying to find a good support net work for when I’m feeling low I can chat to someone I do have a very supportive boyfriend but I don’t any to scare him away 😞",I agree with the lady above you don’t deserve what he is putting you through see your doctor tell them everything they point you to resources if you need to talk you can call the crisis line I will be praying for you,Don’t stop talking to your family and kids. Eventually he will reveal himself to everyone in one way or another. Be there to support your kids when it happens.
